cruces_file	line
cruces-0000.md	1003C · *gratulater* → *gratularer* · p. 508 (*non gratularer gloriam*). The letter after *gratula* is x-height, with no crossbar and a hooked top, unlike the *t* earlier in the same word. It's a probable reading on this copy alone. The English "congratulate" is the same under either reading.
cruces-0000.md	1011D · `[n: (Jud. V)]* Superatis` → `[n: (Jud. V)]*. Superatis` · p. 512. The plate sets a full stop after the citation, and the English follows the plate.
cruces-0000.md	1012B · *Materia es sponsalia* → *Materia est sponsalia* · p. 512. The plate shows a faint, half-inked sort the width of a *t* after *es*, before the space. This is probable, not certain: if the sort is judged absent, *es* ("thou art") has no slot and becomes a `[sic:]` candidate instead. The English renders "is".
cruces-0000.md	1013A · markup, not words: our TEI wraps Wolbero's running parenthesis in a `<note>`, as `[n: (cum veste nuptiali venire, ne si ista careamus, in tenebras exteriores (Matth. XXII) )]`. The plate (p. 513) prints it as running text: *charitatis (cum* ***veste nuptiali*** *venire, ne si ista careamus,* ***in tenebras exteriores*** *[Matth. XXII]) in caecitatem ignorantiae repellamur.* The phrases *veste nuptiali* and *in tenebras exteriores* are italic, and the citation sits in square brackets inside the parenthesis. It's the 11085 class: the host sentence (*ne si … repellamur*) doesn't construe without the wrapped words. Proposed patch: drop the note element, restore the text and its two italic spans, and keep only `(Matth. XXII)` as the citation note. Until then the English carries the wrapped words translated at the same position as `[nt: …]`, so that note parity holds and no sentence is lost.
cruces-0005.md	1017D · `sibi porrigi` → `sibipo rrigi` · p. 515 (split type on the plate; the English then takes `[sic: *sibipo rrigi*]`, see above)
cruces-0005.md	1018 · `Trinitatis *3,* Unde` → `Trinitatis *3.* Unde` · p. 515
cruces-0005.md	1019D · `approbunt` → `approbant` · p. 516
cruces-0005.md	1020C · `as erit` → `asserit` · p. 516 (worn second *s*, visible)
cruces-0005.md	1020D · `repento` → `repente` · p. 516
cruces-0005.md	1024C · `Joanne;` → `Joannes` · p. 518 (worn *s* that reads like `;`)
cruces-0005.md	1026D · `et laborat,` → `et labora ,` · p. 519 (no *t* on the plate; the English already carries `[sic: *labora*]`)
cruces-0005.md	1027D · `vobismetipsis [n: (ibid.)]*.` → `vobismetipsis [n: (ibid.)]*:` · p. 520 (0007.md; the string `(ibid.)]*.` also occurs in 0006 and 0008, so anchor on *vobismetipsis*)
cruces-0005.md	1029C · `praerogavita` → `praerogativa` · p. 521
cruces-0005.md	1029D · `nulla enus` → `nullatenus` · p. 521 (worn *t*, visible)
cruces-0005.md	1030D · `virtu quin` → `virtus quin` · p. 521 (worn *s*, visible)
cruces-0010.md	1035D · *in legem videlicet* → *in Legem videlicet* (capital L) · p. 524
cruces-0010.md	1037C · *quam agit meus Deo* → *quam agit mens Deo* · p. 525
cruces-0010.md	1039B · *recti diligunt. te.* → *recti diligunt te.* (stray full stop; plate breaks *dili-|gunt te.*) · p. 526
cruces-0010.md	1039B · *memores uberum tuorum super vinum; recti diligunt te.* (second of the two subdistinction lemmata) → *super vinnm;* (turned *u* on the plate; after patching, the English may take `[sic: vinnm]`) · p. 526
cruces-0010.md	1044D · *au in spiritu mansuetudinis* → *an in spiritu mansuetudinis* · p. 528
cruces-0010.md	1046C · *vineam meam non [1046C] custodit.* → *custodivi.* (plate *custodiv.*, final sort broken or uninked; the *v* is certain, a *t* is excluded) · p. 529
cruces-0010.md	1051A · *cubat et requiescat, cujus susceptio* → *cubat et requiescat. cujus susceptio* · p. 532
cruces-0015.md	1058C · *privatoria actione injustitiae enim malum* → *privatoria actione. injustitiae enim malum* (full stop, lower-case *i*) · p. 535
cruces-0015.md	1066C · *Deum est diligere pro justitia et veritate aeterna adipiscenda vita toto animo* → *pro justitia et veritate et aeterna adipiscenda vita toto animo* · p. 539
cruces-0020.md	1080A · *odoris hujus sua vitatem* → *odoris hujus suavitatem* · p. 546
