kind	chunk_or_file	col	pageB	our_or_marked_form	B_reads	A_reads	verdict	note
sic	0000	1003D	506	antebac	an-|tebac	an-|tebac	STANDS	B corner cols 1003/1004 read. Letter 3 of line is b: closed bowl at baseline, not the two open legs of h (cf. hanc on same page); same on A.
sic	0000	1004B	506	protacta	protacta	protacta	STANDS	No r after the t: p-r-o-t-a-c-t-a, second t has its short head; same on A.
patch	cruces-0000.md	1003C	506	gratulater -> gratularer	gratula?er (thin x-height stem with a hooked flag, no crossbar = r)	same	CONFIRMED	The sort after gratula matches the r of vestris/-er in the same line (stem + flag), not the crossed t earlier in the word; worn on both copies, so probable rather than certain.
patch	cruces-0000.md	1011D	508	(Jud. V)* Superatis -> (Jud. V)*. Superatis	(Jud. v). Su-	(Jud. v). Su-	CONFIRMED	Full stop set after the closing parenthesis on B.
patch	cruces-0000.md	1012B	508	Materia es sponsalia -> Materia est sponsalia	Materia es[faint t-width sort] sponsa-	same	CONFIRMED	B shows the same faint half-inked sort after es as A, t-width with a hint of stem; probable, not certain (both copies share the weak impression).
patch	cruces-0000.md	1013A	511	[n:(cum veste ... exteriores (Matth. XXII))] as note -> running text	charitatis (cum veste nuptiali venire, ne si ista ca-|reamus, in tenebras exteriores [Matth. xxii]) in cæ-|citatem ignorantiæ repellamur.	same	CONFIRMED	Running text; veste nuptiali and in tenebras exteriores italic; citation in square brackets inside the parenthesis, as proposed.
sic	0003	1010D	509	curi	curi ,	curi ,	STANDS	Final i clear on B, then a space and comma; no s.
patch	cruces-0005.md	1017D	513	sibi porrigi -> sibipo rrigi	stulat sibipo rrigi osculum	same	CONFIRMED	Split type: space falls after sibipo, before rrigi, on both copies.
patch	cruces-0005.md	1018	513	Trinitatis *3,* Unde -> Trinitatis *3.* Unde	gratia Trinitatis 3, Unde	gratia Trinitatis 3. Unde (round point, tail not inked)	REJECTED	At 1200 dpi B shows a comma after the 3 with a clear tail below the baseline; A shows only the head of the same sort as a round dot. Our Latin 3, is right; drop the patch.
sic	0005	1019B	514	praesumes	subli-|miter præsumes proclamatio?	same	STANDS	m-e-s after præsu; no n between e and s on either copy.
