# [sic:] plate sweep — volumes with a scan on disk (PL 113/114/202), 2026-08-29
# Wilson approved the burn; ladder step 2 of the 1,587-marker exposure survey.
# verdict: FALSE = Corpus Corporum's corruption, marker withdrawn + TEI patched
#          CONFIRMED = Migne's own defect, marker stands
#          PRIOR = a plate read already existed in the record; registered, not re-run
idno	col	marker	page	verdict	plate reads	note
8959	0522B	seniorunt	113/266	FALSE	seniorum	VERS. 7 lemma; clean type
8959	0525C	periculam	113/268	FALSE	periculum	hyphenated pericu-/lum across line break; rejoin artifact (cf. 8946 Salomo-/nis)
8959	0530A	In icat	113/270	FALSE	Indicat	space intrusion
8968	0535B	sul	113/273	FALSE	sub	ut intres sub tectum meum
8954	0603D	vides	113/307	FALSE	vices	reddebant regi per vices; c misread as d
8955	0629D	ulit	113/320	PRIOR	ulit	Migne's failed sort; settled earlier via second witness (our copy clips p.320 left margin). Control: Tulit quoque prints cleanly 2 lines above. Read existed in cruces but was never registered.
8962	0721D	peregrim	113/366	FALSE	peregrini	verified 500dpi; final i decisive
8962	0721D	Christ	113/366	CONFIRMED	Christ	verified 500dpi; Vulg. Gal 5:24 Christi. Migne's own defect.
8970	0727A	spiritualer	113/369	FALSE	spiritualiter	
8970	0727B	incantus	113/369	FALSE	incautus	u/n misread
8970	0728C	di bolum	113/369	FALSE	diabolum	space intrusion
8970	0729A	astutius	113/370	FALSE	astutias	
8960	0731D	subju averit	113/371	FALSE	subjugaverit	space intrusion
8960	0733B	milis	113/372	FALSE	(delete)	plate hyphenates si-/milis ero Altissimo; CC kept BOTH halves. Dittography, not a defect. Stray word deleted.
8960	0733C	mise unt	113/372	FALSE	miserunt	space intrusion
8960	0733D	solli itudo	113/372	FALSE	sollicitudo	space intrusion
8960	0733D	fallaci	113/372	FALSE	fallacia	
8960	0734A	qui ibet	113/372	FALSE	quilibet	space intrusion
8960	0734B	corre ti	113/372	FALSE	correcti	space intrusion
8948	0739D	convivum	113/375	CONFIRMED	convivum	Migne's own defect. Control on the SAME page: "Ibi Assuerus convivium maximum" prints the i.
8969	1167C	cipere	113/589	FALSE	percipere	plate hyphenates possunt per-/cipere; CC dropped the FIRST half (cf. 8960 milis, which kept both)
8969	1174C	pro fugi	113/592	FALSE	profugi	plate hyphenates et pro-/fugi; space left where the hyphen was
8969	1175A	repulatae	113/593	FALSE	reputatae	t misread as l
8969	1175A	aspectusolis	113/593	FALSE	aspectu solis	plate prints two words; CC ran them together
8969	1176D	nolum	113/593	FALSE	notum	Rom. 1:19 quod notum est Dei; third t/l misread in this work
8969	1178B	retrabunt	113/594	FALSE	retrahunt	h misread as b
8969	1181C	unicunque	113/596	FALSE	ubicunque	b misread as n
8969	1181C	vertitatis	113/596	FALSE	veritatis	
8969	1182B	Santis	113/596	FALSE	Sanctis	
8976	0435B	Chistus	114/223	CONFIRMED	Chistus	Migne's defect. Controls same page: Christo, Chris-/to print correctly.
8992	0573D	ingentes	114/292	CONFIRMED	ingentes	Gal 2:9 in gentes run together in the lemma; gloss beneath shows the sense
8992	0574A	leges	114/292	CONFIRMED	leges	for legis
8992	0584A	digit	114/297	FALSE	diligit	plate hyphenates qui di-/ligit; rejoin loss
8992	0584C	car nali	114/297	FALSE	carnali	plate hyphenates anima car-/nali
8991	0590D	ab ipse	114/300	FALSE	ab ipso	
8991	0595B	mancida	114/303	FALSE	marcida	r/n misread
