page	col	note_no	note_text	anchor_words	anchor_in_our_latin	layer
n201	0329C	3	Cod. *nunquid*.	missi sunt? Nonne (3) et apostoli ab eo	yes — key read at the plate (stint 0010, archive n201 at 2x, raised 3 after the SECOND Nonne); confirmed on Princeton PA329	vl
n202	0331B	1	*Abiit* om. cod., add. ex conj.	et ab iis iterum [abiit] (1) in Galilaeam	yes — key read at the plate (stint 0010), after Floss's bracket	vl
n202	0332A	a	S. Hieronymus : *Galilaea, volutabilis, aut transmigratio perpetrata* vel *rota*. J. Scotus recte vocem derivat a (Hebrew), *volvere;* interpretio *transmigratio* respicit (Hebrew), Gilgal, Josua V, 9.	vel *revolutio* interpretatur (a); transmigratio autem	yes — key read at the plate (stint 0010); 'interpretio' as printed on both copies; Hebrew not transcribed	fn
n202	0332C	b	Sic S. Hieronymus : *Sichar conclusio sive ramus.*	*conclusio* seu *ramus* (b). Gentilium populus	yes — key read at the plate (stint 0010)	fn
n202	0332C	c	S. Hieronymus : *Corrupte pro Sichem, quae transfertur in humeros, ut Sichar legeretur, usus obtinuit.* J. Scotus legisse videtur *numeri* pro *humeri*; sed interpretatio *numeri* non satis accurata est; nam Sichem derivatur a (Hebrew).	Sychem interpretatur *numeri* (c): electos ex gentibus	yes — key read at the plate (stint 0010); Hebrew not transcribed	fn
n203	0334D	1	Cod. *delectionem*.	puteum profundum delectationem (1) corporalium	yes — key read at the plate (stint 0010)	vl
n204	0335A	1	Cod. *delectati[o?]nem*.	semper appetit delectatione (1) temporalium	yes — key read at the plate (stint 0010); o/e blurred on archive (reads 'delectatienem'), Princeton o-like	vl
n204	0336B	2	Cod. *praeten[?]u[n?]t*.	praetendit (2). Ternaria quippe	yes — key read at the plate (archive n204) and Princeton PA335; codex word damaged on both copies, not guessed	vl
n204	0336C	3	Cod. *iu[r/v?]etur*.	merito jubetur (3) mulier	yes — key read at the plate (archive clips the line; key visible) and Princeton PA335; r/v unsettled (archive r-like, Princeton v-like)	vl
n204	0336C	4	*potest* om. cod., add. ex conj.	supernae gratiae [potest] (4) esse particeps	yes — key read on archive and Princeton PA335, after Floss's bracket	vl
n204	0336C	5	Sic cod., forte *quia?*	laudo, quod dixisti, quae (5) vere dixisti	yes — key on archive n204; note head 'Sic cod.,' clipped on the archive, read on Princeton PA335	vl
n205	0337A	1	Cod. *unaquaeque anima*.	sub quibus unamquamque animam (1), priusquam	yes — key read at the plate (stint 0010)	vl
n206	0339A	1	Corr., cod. *qui a spiritu*.	Jam quia spiritus (1) est, eos	yes — key read at the plate (stint 0010, archive n206 left col); the leaf's only VL key	vl
